,33 Trial 1,33 Trial 2,33 Trial 3,33-Triton Trial 1,33-Triton Trial 2,33-Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
253,25.294333,50.235999,53.791333,11.553666,14.424666,15.175666
254,25.157,50.141333,53.689666,11.561333,14.445333,15.166
255,25.105666,50.042666,53.660333,11.537666,14.487333,15.135666
256,25.013333,49.962666,53.605,11.543333,14.472333,15.139333
257,24.946333,49.843,53.504666,11.541,14.447333,15.116333
258,24.817333,49.723,53.400333,11.535333,14.397666,15.101333
259,24.725,49.680333,53.270999,11.505,14.397,15.075
260,24.685666,49.635666,53.237666,11.491666,14.392,15.072
261,24.625,49.611999,53.200666,11.500333,14.368,15.075
262,24.528666,49.571666,53.134666,11.495,14.326333,15.077333
263,24.397666,49.480999,52.99,11.49,14.289666,15.063333
264,24.282333,49.318333,52.865666,11.467,14.283666,15.050666
265,24.240666,49.113666,52.823333,11.422,14.297666,15.047333
266,24.196,48.953666,52.826333,11.387666,14.323333,15.041333
267,24.074333,48.835666,52.797999,11.393,14.340333,15.03
268,23.931333,48.722333,52.679333,11.427333,14.312666,15.013333
269,23.848666,48.660333,52.569,11.446666,14.25,14.985666
270,23.885,48.615666,52.504666,11.447,14.186333,14.952
271,23.842333,48.565333,52.464666,11.435666,14.172,14.937
272,23.713,48.463666,52.381333,11.429666,14.185,14.932333
273,23.550333,48.380666,52.303333,11.411,14.16,14.959
274,23.446333,48.286666,52.218,11.374,14.149,14.954333
275,23.404,48.204333,52.136666,11.366,14.108333,14.938
276,23.348,48.113,51.993666,11.358666,14.126333,14.886333
277,23.278333,48.074333,51.866666,11.38,14.145,14.868333
278,23.179333,48.033333,51.799666,11.389666,14.128,14.865666
279,23.062333,47.975333,51.758,11.385,14.111666,14.851333
280,22.974666,47.904999,51.719333,11.353666,14.096,14.868333
281,22.894666,47.742333,51.601666,11.373333,14.088,14.858
282,22.834333,47.589333,51.464666,11.348,14.095666,14.878666
283,22.775,47.528666,51.503666,11.333666,14.081333,14.859
284,22.698333,47.497333,51.542,11.242666,14.060666,14.882
285,22.670666,47.446666,51.546333,11.234333,14.024333,14.857333
286,22.631,47.326666,51.433,11.244333,13.982,14.8
287,22.590666,47.215666,51.345333,11.267,13.999666,14.770666
288,22.448,47.105666,51.266666,11.263,14.001,14.802
289,22.338666,46.992333,51.15,11.246,14.003,14.859
290,22.243,46.933666,51.092666,11.255,13.999666,14.838666
291,22.234666,46.881333,51.046666,11.277333,13.986333,14.776666
292,22.219666,46.779,50.958666,11.304666,13.959,14.714
293,22.161,46.634666,50.834333,11.307,13.916,14.695666
294,22.017,46.52,50.718666,11.293666,13.887,14.709666
295,21.866,46.467666,50.617333,11.273333,13.881666,14.732666
296,21.801,46.477666,50.53,11.247,13.905666,14.748666
297,21.776333,46.459666,50.468,11.230333,13.934,14.755
298,21.724,46.376333,50.463666,11.237666,13.936,14.739
299,21.656,46.262,50.513666,11.252333,13.918333,14.709333
300,21.586333,46.096666,50.534333,11.243666,13.884666,14.701333
301,21.502333,45.980333,50.512,11.213666,13.869,14.681
302,21.421666,45.874666,50.442333,11.181,13.888333,14.67
303,21.337333,45.839666,50.306666,11.185333,13.876666,14.619666
304,21.289333,45.812333,50.183333,11.206,13.858333,14.603
305,21.226666,45.711333,50.080666,11.207,13.788,14.604
306,21.235666,45.604,50.006,11.213666,13.779,14.594
307,21.162333,45.568333,49.961666,11.190333,13.754666,14.597333
308,21.125,45.512333,49.897333,11.191,13.751666,14.571666
309,21.021333,45.402333,49.828666,11.154,13.753333,14.589666
310,20.941333,45.163,49.742,11.147,13.777,14.580333
311,20.820333,45.123,49.586,11.149666,13.793333,14.600666
312,20.760333,45.151,49.556666,11.178666,13.804333,14.565333
313,20.773666,45.160333,49.462666,11.166,13.798,14.577
314,20.728666,45.087,49.471333,11.151333,13.766333,14.542
315,20.656333,44.952666,49.359666,11.128,13.726333,14.553333
316,20.570666,44.876,49.313,11.142333,13.716,14.520666
317,20.518666,44.743999,49.250666,11.135666,13.721333,14.522333
318,20.426333,44.662,49.212666,11.134,13.693333,14.508333
319,20.379666,44.642666,49.182666,11.105,13.664,14.509
320,20.347666,44.625666,49.104333,11.094,13.655333,14.470333
321,20.355666,44.593,49.071666,11.095666,13.683666,14.455666
322,20.292,44.458333,49.003333,11.1,13.704333,14.437666
323,20.254333,44.366666,48.942666,11.082333,13.702666,14.458
324,20.181,44.264,48.84,11.056333,13.673333,14.461666
325,20.095333,44.170333,48.785333,11.062333,13.635,14.45
326,20.009666,44.068333,48.748333,11.087,13.607666,14.425
327,19.951,43.962999,48.665333,11.115666,13.604333,14.397
328,19.936666,43.874666,48.528333,11.121333,13.628666,14.371333
329,19.910666,43.776333,48.409333,11.104666,13.648333,14.348
330,19.863333,43.672333,48.381333,11.093333,13.642666,14.346666
331,19.827333,43.554666,48.360333,11.084,13.635666,14.351666
332,19.789666,43.423,48.331999,11.106,13.629,14.341333
333,19.738333,43.375666,48.277333,11.099,13.642333,14.322
334,19.654333,43.389666,48.234666,11.096666,13.616666,14.299333
335,19.568666,43.406,48.177333,11.058666,13.592333,14.297
336,19.554,43.402,48.086666,11.042333,13.566333,14.298
337,19.522333,43.296333,48.021666,11.040666,13.558666,14.302333
338,19.485,43.235666,47.977,11.050333,13.539333,14.288333
339,19.443666,43.113666,47.939666,11.041333,13.534,14.265666
340,19.369666,43.032666,47.913666,11.011,13.514666,14.249
341,19.322333,42.964666,47.799666,11.011333,13.524666,14.284666
342,19.236,42.866666,47.667333,11.031333,13.565333,14.271333
343,19.185666,42.768666,47.547999,11.056666,13.57,14.226666
344,19.135333,42.647666,47.532,11.065666,13.545333,14.222333
345,19.101666,42.587333,47.561333,11.034,13.468,14.210333
346,19.098,42.533,47.517333,11.007333,13.468,14.242333
347,19.036333,42.406333,47.461666,10.983333,13.470666,14.187
348,18.947666,42.302666,47.393333,10.988666,13.496,14.210333
349,18.867333,42.18,47.387666,10.998,13.487666,14.212666
350,18.835333,42.211,47.294,10.989333,13.481333,14.212
351,18.814666,42.230999,47.222,10.976333,13.475,14.217
352,18.783333,42.253333,47.155,10.958666,13.466333,14.196333
353,18.740666,42.106666,47.138666,10.944333,13.491,14.168666
354,18.680333,41.941666,47.096,10.944333,13.498,14.136666
355,18.646666,41.838666,46.959333,10.943,13.492333,14.141333
356,18.620333,41.795333,46.812,10.940666,13.454333,14.149666
357,18.576666,41.786,46.738,10.942333,13.416333,14.121333
358,18.507666,41.801333,46.757333,10.949,13.408333,14.08
359,18.459333,41.76,46.805,10.956,13.417666,14.063333
360,18.433333,41.622333,46.749,10.95,13.436333,14.079
361,18.356666,41.492,46.573666,10.922666,13.438,14.110666
362,18.255666,41.394666,46.434666,10.889666,13.401,14.129666
363,18.204666,41.337,46.392333,10.879,13.367666,14.112666
364,18.227333,41.293,46.403666,10.908666,13.347333,14.088666
365,18.227,41.204666,46.389666,10.944666,13.357333,14.072333
366,18.174666,41.102,46.327,10.946333,13.351333,14.035666
367,18.121,41.009333,46.297,10.93,13.386333,13.989
368,18.017666,40.990666,46.267999,10.921666,13.39,13.942
369,17.971666,41.073666,46.213666,10.894,13.382333,13.963
370,17.909,41.003333,46.191666,10.853666,13.335,13.979
371,17.885,40.991666,46.159333,10.828,13.308333,13.956
372,17.859666,40.856,46.093333,10.879666,13.269333,13.942
373,17.828666,40.794,45.952666,10.872666,13.304333,13.942666
374,17.801,40.646333,45.913666,10.852,13.308666,13.996
375,17.744333,40.613666,45.882,10.828333,13.311666,14.002666
376,17.669,40.55,45.900333,10.845333,13.233333,13.991
377,17.642666,40.500333,45.823666,10.853,13.231666,13.964333
378,17.599333,40.379666,45.801,10.833333,13.230666,13.91
379,17.563,40.268666,45.695333,10.833333,13.254333,13.876333
380,17.525333,40.209999,45.55,10.836,13.247,13.834666
381,17.478,40.141333,45.454333,10.818333,13.276,13.859
382,17.448666,40.15,45.453333,10.823333,13.262666,13.885333
383,17.416333,40.098333,45.532333,10.821,13.247666,13.914
384,17.401666,40.082666,45.547333,10.798666,13.211666,13.892333
385,17.412,40.045666,45.452,10.784333,13.191666,13.856666
386,17.405333,40.016333,45.280666,10.809333,13.191666,13.835
387,17.378666,39.953333,45.151,10.852,13.221666,13.822666
388,17.322,39.808666,45.124333,10.842666,13.242666,13.835333
389,17.279333,39.635,45.135666,10.818,13.220666,13.851666
390,17.265666,39.496333,45.133333,10.825,13.200333,13.854333
391,17.243666,39.453666,45.123333,10.844333,13.224666,13.835333
392,17.205333,39.505666,45.095333,10.863,13.245666,13.802333
393,17.157666,39.526999,45.029333,10.854333,13.224333,13.814333
394,17.129,39.465666,44.930666,10.829666,13.194,13.828666
395,17.104,39.357,44.838333,10.812,13.171333,13.81
396,17.04,39.266,44.746333,10.787666,13.185333,13.779666
397,16.974333,39.18,44.695666,10.793666,13.149,13.747
398,16.978,39.092333,44.678,10.81,13.152666,13.761333
399,16.981333,39.077666,44.675,10.816333,13.164333,13.760333
400,16.984666,39.05,44.656333,10.801666,13.186,13.744333
401,16.901333,38.953,44.553666,10.778333,13.135666,13.725333
402,16.839666,38.831999,44.531333,10.797666,13.100333,13.741
403,16.808666,38.674666,44.503333,10.809666,13.078,13.756333
404,16.735333,38.685333,44.485333,10.792666,13.058,13.742666
405,16.734666,38.667666,44.397666,10.778,13.038666,13.710333
406,16.639,38.683333,44.306666,10.78,13.031333,13.732
407,16.679666,38.611,44.258666,10.754666,13.059666,13.774333
408,16.636333,38.509333,44.153666,10.721666,13.085666,13.774666
409,16.614,38.454666,44.144666,10.686666,13.105333,13.728333
410,16.552,38.407333,44.154333,10.706333,13.135,13.682333
