,31 Trial 1,31 Trial 2 ,31 Trial 3,31 Triton Trial 1,31 Triton Trial 2 ,31 Triton Trial 3
Time ,Intensity ,Intensity,Intensity,Intensity ,Intensity,Intensity
294,10.907333,23.082666,10.99,11.244,11.804333,12.561666
295,10.913333,23.034666,10.979666,11.254666,11.823,12.575
296,10.945666,22.980333,10.978333,11.275333,11.838666,12.575333
297,10.99,22.988,10.991666,11.288333,11.825,12.566666
298,11.013333,23.022666,10.991666,11.279333,11.797666,12.563666
299,10.999,23.034,10.974,11.255333,11.797333,12.571333
300,10.963666,23.024333,10.964666,11.231666,11.817666,12.580666
301,10.946666,23.004,10.968,11.230666,11.846666,12.583
302,10.954666,22.965666,10.971333,11.226666,11.82,12.577
303,10.976,22.945333,10.970666,11.223333,11.821333,12.568333
304,10.948333,22.918333,10.946,11.223,11.793,12.576
305,10.909666,22.87,10.951666,11.237333,11.799333,12.569666
306,10.889333,22.886,10.947333,11.266333,11.771333,12.580666
307,10.867333,22.924666,10.933,11.267333,11.777333,12.576
308,10.881,22.917,10.914666,11.239333,11.8,12.586333
309,10.849,22.846,10.923333,11.221666,11.834,12.575
310,10.844666,22.799333,10.948333,11.255,11.850333,12.536333
311,10.842333,22.788333,10.943,11.283,11.849666,12.550333
312,10.858,22.828333,10.955,11.296,11.842333,12.566
313,10.861,22.779666,10.952666,11.285,11.811333,12.576333
314,10.858333,22.799333,10.971,11.290666,11.821,12.575333
315,10.833,22.766333,10.959,11.267666,11.818666,12.557666
316,10.86,22.786333,10.930666,11.249333,11.848666,12.566
317,10.842,22.781666,10.903666,11.254333,11.846666,12.547666
318,10.843333,22.776333,10.844666,11.294,11.834333,12.557
319,10.822333,22.805,10.834666,11.317666,11.822666,12.542333
320,10.807333,22.837666,10.816333,11.305,11.801,12.552666
321,10.823,22.851666,10.831666,11.267333,11.825333,12.571333
322,10.826666,22.799666,10.838,11.252333,11.849333,12.580666
323,10.827,22.74,10.851333,11.257666,11.863666,12.566666
324,10.807666,22.698,10.864333,11.279333,11.825,12.543333
325,10.800333,22.686666,10.867,11.286,11.793,12.540333
326,10.806,22.662333,10.861333,11.292,11.788666,12.535666
327,10.802,22.628333,10.853333,11.305666,11.800333,12.528
328,10.798666,22.627333,10.860666,11.318333,11.800333,12.519
329,10.802333,22.665,10.872,11.333333,11.792333,12.510666
330,10.800666,22.698,10.866666,11.332666,11.813666,12.525
331,10.799333,22.678333,10.852333,11.31,11.830333,12.561
332,10.801333,22.648,10.827666,11.305,11.815666,12.599333
333,10.787,22.634333,10.824666,11.320333,11.774666,12.608666
334,10.78,22.632333,10.817666,11.356666,11.736333,12.588
335,10.772333,22.637,10.791,11.327,11.692666,12.557
336,10.793333,22.638,10.757666,11.311333,11.695,12.550333
337,10.815666,22.651333,10.732333,11.289666,11.693333,12.555
338,10.806666,22.644,10.797666,11.329333,11.702333,12.573666
339,10.789666,22.629,10.805666,11.326,11.720333,12.55
340,10.760333,22.611,10.822,11.354666,11.722666,12.519333
341,10.739333,22.564666,10.794,11.368,11.776666,12.495666
342,10.751666,22.573,10.820666,11.347,11.760333,12.533666
343,10.755333,22.562666,10.84,11.313666,11.767333,12.548666
344,10.770333,22.542,10.852666,11.299666,11.725,12.534666
345,10.751666,22.506666,10.831333,11.312333,11.705333,12.514333
346,10.757666,22.475,10.831333,11.304333,11.679333,12.537333
347,10.765666,22.541666,10.795666,11.296333,11.706333,12.535333
348,10.757333,22.533666,10.792666,11.315666,11.740666,12.521333
349,10.762666,22.51,10.783666,11.329,11.785333,12.492666
350,10.774,22.462333,10.790666,11.325,11.790333,12.502666
351,10.793,22.448,10.779666,11.321666,11.755333,12.489
352,10.793333,22.441,10.745666,11.331333,11.743,12.495333
353,10.785333,22.431333,10.705,11.34,11.744,12.512333
354,10.769666,22.445666,10.693666,11.34,11.783,12.543333
355,10.735333,22.441,10.691666,11.342666,11.779,12.553333
356,10.692,22.418,10.697666,11.351666,11.754666,12.538333
357,10.679666,22.403666,10.690333,11.366666,11.721,12.526666
358,10.707333,22.401333,10.685333,11.366,11.698333,12.531666
359,10.748333,22.387333,10.706,11.344666,11.691333,12.550666
360,10.749666,22.364333,10.723333,11.321333,11.690333,12.552666
361,10.717333,22.366,10.716666,11.313666,11.710666,12.521
362,10.724666,22.384,10.688333,11.326,11.73,12.49
363,10.733666,22.392666,10.645333,11.334666,11.736,12.482333
364,10.736666,22.406,10.646666,11.353666,11.711,12.514333
365,10.700666,22.394,10.659333,11.374666,11.699333,12.537333
366,10.680666,22.377333,10.677666,11.373666,11.685333,12.546333
367,10.696,22.36,10.700666,11.365333,11.699333,12.533666
368,10.698666,22.329333,10.710666,11.365666,11.699333,12.525333
369,10.696333,22.318666,10.709333,11.376666,11.709333,12.507333
370,10.675,22.267333,10.706,11.375333,11.717,12.504
371,10.684666,22.270333,10.682,11.357666,11.702,12.501666
372,10.684333,22.249333,10.692333,11.336333,11.701333,12.542666
373,10.708666,22.316,10.663,11.355,11.687666,12.554666
374,10.706666,22.338,10.649,11.338666,11.671333,12.54
375,10.702,22.352666,10.637666,11.387,11.685666,12.504333
376,10.657,22.332666,10.612666,11.376,11.692,12.503666
377,10.639666,22.353666,10.621,11.393333,11.689666,12.503
378,10.658666,22.355333,10.627333,11.358333,11.656666,12.52
379,10.674333,22.336,10.668333,11.372333,11.669,12.505333
380,10.664,22.293666,10.673,11.375,11.725333,12.513333
381,10.644,22.258666,10.670333,11.397666,11.747333,12.487333
382,10.649333,22.252,10.647666,11.420333,11.738333,12.484333
383,10.642333,22.225333,10.656,11.433,11.705,12.495333
384,10.634666,22.235,10.659333,11.432,11.671333,12.509333
385,10.62,22.241666,10.666666,11.398,11.633333,12.524666
386,10.628,22.275333,10.661666,11.373,11.647333,12.520666
387,10.635333,22.267666,10.643333,11.346666,11.689,12.508
388,10.633,22.234,10.627666,11.342,11.705333,12.498333
389,10.622,22.195666,10.612,11.366333,11.695,12.515
390,10.608666,22.167333,10.600333,11.386333,11.69,12.543666
391,10.604333,22.153333,10.586666,11.392666,11.695,12.542333
392,10.605666,22.143,10.57,11.394,11.691666,12.515
393,10.610333,22.166666,10.576333,11.390333,11.695,12.496666
394,10.612333,22.180666,10.594,11.373,11.699,12.504
395,10.595666,22.200666,10.608333,11.351666,11.670666,12.506
396,10.582666,22.166333,10.581333,11.322333,11.662,12.505666
397,10.576333,22.111666,10.584,11.323333,11.646666,12.498333
398,10.557333,22.069333,10.555,11.331333,11.671,12.498
399,10.549333,22.084666,10.540666,11.392666,11.675333,12.499
400,10.553,22.109333,10.507666,11.417,11.679,12.487
401,10.551,22.101,10.483666,11.408,11.649,12.488
402,10.548,22.065333,10.472666,11.401,11.637333,12.500666
403,10.553666,22.074,10.499666,11.369,11.638,12.52
404,10.562666,22.023,10.547666,11.431333,11.668666,12.528
405,10.58,21.990333,10.575333,11.434333,11.677,12.519666
406,10.524,21.972,10.537333,11.458333,11.660666,12.509333
407,10.53,22.006,10.512666,11.416,11.637,12.494
408,10.499,21.982666,10.522666,11.423,11.652,12.493333
409,10.513666,21.956666,10.525,11.438,11.682333,12.494666
410,10.524,21.967,10.519666,11.433333,11.733,12.521333
411,10.52,21.993333,10.496,11.423333,11.712666,12.530666
412,10.513666,21.983,10.511666,11.392666,11.701,12.513
413,10.491333,21.961333,10.525333,11.391666,11.656,12.477
414,10.500666,21.965333,10.536,11.401333,11.629333,12.441666
415,10.500666,21.969666,10.528666,11.413333,11.618333,12.436
416,10.465333,21.962666,10.516666,11.427333,11.616666,12.447666
417,10.457333,21.963666,10.506666,11.421333,11.640333,12.458
418,10.478666,21.962333,10.491333,11.450333,11.670333,12.468
419,10.5,21.940333,10.473,11.474,11.691,12.467
420,10.482,21.900333,10.443,11.471666,11.686666,12.466666
421,10.449,21.883666,10.402333,11.455333,11.658666,12.475666
422,10.45,21.898666,10.385666,11.433666,11.642,12.489666
423,10.464,21.899,10.397,11.432666,11.637,12.504666
424,10.46,21.877333,10.416333,11.437333,11.624,12.508333
425,10.443,21.862666,10.457,11.434666,11.631333,12.499
426,10.440333,21.867,10.466,11.418333,11.627666,12.486666
427,10.457,21.853,10.481666,11.408666,11.651666,12.476666
428,10.485,21.813333,10.443333,11.404666,11.625333,12.475
429,10.474666,21.820666,10.402333,11.405333,11.625333,12.454666
430,10.47,21.839,10.362,11.409666,11.629666,12.443333
431,10.442333,21.867333,10.377333,11.386333,11.660333,12.446666
432,10.446666,21.848,10.441666,11.412666,11.632,12.455333
433,10.463,21.844,10.444,11.415333,11.612333,12.453333
434,10.482666,21.769666,10.45,11.451,11.579666,12.443666
435,10.481666,21.786666,10.387666,11.418666,11.606666,12.445
436,10.486,21.788,10.430666,11.404,11.599666,12.447666
437,10.504666,21.787333,10.448,11.399,11.623666,12.445
438,10.514666,21.703333,10.478666,11.392,11.611,12.447333
439,10.490333,21.592333,10.462333,11.406666,11.639333,12.472333
440,10.457333,21.581,10.435333,11.398666,11.627333,12.482
441,10.431666,21.614666,10.428,11.435333,11.638,12.501333
442,10.416,21.676,10.420333,11.421666,11.598,12.499666
443,10.398666,21.677,10.417333,11.424,11.596666,12.5
444,10.407,21.611,10.408333,11.428,11.584,12.487333
445,10.407666,21.560333,10.427333,11.434333,11.571,12.476333
446,10.432,21.57,10.432333,11.407333,11.559333,12.476666
447,10.449333,21.605,10.421333,11.354666,11.550666,12.476333
448,10.461666,21.603333,10.376333,11.349,11.557333,12.481666
449,10.450666,21.565,10.337,11.368,11.578333,12.474333
